unique_ID,samp,clean_samp,d13,core_type,tree type,label_type
2,01.05.1,01.05.1,24.08129787,1,G,L
6,01.5.3,01.05.3,-5.254205882,3,G,L
3,01.13.1,01.13.1,-22.16263793,1,P,S
4,01.13.2,01.13.2,-23.84824219,2,P,S
5,01.13.3,01.13.3,-22.138,3,P,S
37,2.8.1,02.08.1,7.12212381,1,G,L
38,2.8.2,02.08.2,-10.07810476,2,G,L
39,2.8.3,02.08.3,-24.48613725,3,G,L
35,2.10.1,02.10.1,-2.407567164,1,G,S
36,2.10.3,02.10.3,-26.52063366,2,G,S
49,3.7.2,03.07.2,-11.33388776,2,P,L
50,3.7.3,03.07.3,-13.16183871,3,P,L
63,5.3.1,05.03.1,4.880879518,1,P,L
64,5.3.2,05.03.2,4.041522222,2,P,L
65,5.3.3,05.03.3,-25.39233803,3,P,L
66,5.9.2,05.09.2,-7.907666667,2,P,L
67,5.9.3,05.09.3,-21.57638095,3,P,L
76,6.6.1,06.06.1,-13.52254737,1,P,L
77,6.6.2,06.06.2,-15.30096341,2,P,L
78,6.6.3,06.06.3,-18.88113208,3,P,L
8,10.2.1,10.02.1,-16.99167606,1,G,S
7,10.02.2,10.02.2,-19.30137037,2,G,S
9,10.2.3,10.02.3,-27.75274138,3,G,S
14,11.6.3,11.06.3,-25.48885185,3,G,S
11,11.1.1,11.10.1,-10.36493023,1,G,L
12,11.10.3,11.10.3,-27.71461702,3,G,L
17,12.1.2,12.01.2,-10.29223967,2,G,L
18,12.1.3,12.01.3,-22.00331395,3,G,L
19,12.5.2,12.05.2,7.12785567,2,G,L
20,12.5.3,12.05.3,-18.81908421,3,G,L
15,12.09.1,12.09.1,-12.54793258,1,G,L
16,12.09.2,12.09.2,4.7192,2,G,L
21,12.9.3,12.09.3,-29.01970192,3,G,L
23,14.10.1,14.10.1,-2.177070423,1,G,S
24,14.10.2,14.10.2,2.249987179,2,G,S
22,14.1.3,14.10.3,-38.06377966,3,G,S
25,15.6.2,15.06.2,-16.46288119,2,P,L
26,17.01.1,17.01.1,-13.78560417,1,G,S
30,17.1.1,17.01.1,-20.59041071,1,G,S
27,17.01.3,17.01.3,-28.64379412,3,G,S
28,17.06.1,17.06.1,-12.0148547,1,P,S
29,17.06.2,17.06.2,-15.10765546,2,P,S
31,17.6.3,17.06.3,-27.76783333,3,P,S
32,18.05.1,18.05.1,-12.96566364,1,P,S
33,18.05.2,18.05.2,-20.00576042,2,P,S
34,18.5.3,18.05.3,-19.6945566,3,P,S
40,20.04.1,20.04.1,3.890708333,1,P,S
41,20.4.2,20.04.2,-25.58436765,2,P,S
42,22.7.2,22.07.2,-0.362252101,2,G,L
43,22.7.3,22.07.3,-28.89126316,3,G,L
44,24.2.1,24.02.1,4.773080808,1,G,L
45,24.2.2,24.02.2,-10.09867368,2,G,L
46,24.2.3,24.02.3,-22.1457973,3,G,L
47,28.1.2,28.01.2,-5.822966667,2,P,S
48,28.1.3,28.01.3,-23.36127723,3,P,S
51,34.06.1,34.06.1,-20.39789216,1,G,S
52,34.1.3,34.06.3,-14.27152941,3,G,S
53,37.04.1,37.04.1,-16.94383838,1,P,S
54,37.4.2,37.04.2,-24.92170536,2,P,S
55,37.4.3,37.04.3,-21.65244048,3,P,S
56,43.02.1,43.02.1,-22.02877612,1,G,S
57,43.02.2,43.02.2,-19.89093443,2,G,S
58,43.02.3,43.02.3,-15.56992553,3,G,S
59,46.3.2,46.03.2,13.78952427,2,P,L
60,46.3.3,46.03.3,-13.39685859,3,P,L
61,48.01.1,48.01.1,-22.36134118,1,G,S
62,48.01.3,48.01.3,-20.83746774,3,G,S
68,52.04.2,52.04.2,-22.03675789,2,P,S
69,52.4.1,52.04.1,-21.09195402,1,P,S
70,52.4.3,52.04.3,14.76198276,3,P,S
71,55.11.1,55.11.1,-10.78353226,1,P,S
72,55.11.2,55.11.2,2.510359223,2,P,S
73,58.05.2,58.05.2,3.895106383,2,P,L
74,58.05.3,58.05.3,-10.25933,3,P,L
75,58.5.1,58.05.1,-7.731019802,1,P,L
79,63.4.2,63.04.2,-5.753747475,2,P,L